scenario,model,accuracy_point,precision_point,precision_defined,recall_point,recall_exact_ci_low,recall_exact_ci_high,f1_point,specificity_point,specificity_exact_ci_low,specificity_exact_ci_high,auc_roc_point,brier_point,n,events,non_events,tn,fp,fn,tp,positive_predictions,bootstrap_resamples,bootstrap_discarded_single_class,accuracy_ci_low,accuracy_ci_high,f1_ci_low,f1_ci_high,auc_roc_ci_low,auc_roc_ci_high,brier_ci_low,brier_ci_high,cluster_bootstrap_unit,cluster_bootstrap_resamples,cluster_bootstrap_discarded_single_class,cluster_count,accuracy_cluster_ci_low,accuracy_cluster_ci_high,recall_cluster_ci_low,recall_cluster_ci_high,specificity_cluster_ci_low,specificity_cluster_ci_high,f1_cluster_ci_low,f1_cluster_ci_high,auc_roc_cluster_ci_low,auc_roc_cluster_ci_high,brier_cluster_ci_low,brier_cluster_ci_high
train_eICU_test_MIMIC_24h_shared_features,LogisticRegression,0.5636363636363636,0.35294117647058826,1,0.5454545454545454,0.3635065310148468,0.7189338057061838,0.42857142857142855,0.5714285714285714,0.45350964480908457,0.6836840285792658,0.5977961432506887,0.2692071837643553,110,33,77,44,33,15,18,51,2000,0,0.4727272727272727,0.6636363636363637,0.3132530120481928,0.5494642857142856,0.4789256198347107,0.7194116489571033,0.22456912782633706,0.31447060179359587,patient_group_id,2000,0,79,0.44952724208949635,0.6589191331923889,0.3448275862068966,0.7352941176470589,0.4242295839753467,0.6865671641791045,0.25967532467532467,0.5747198275862069,0.4593564113080331,0.7199402827219729,0.2244815763337693,0.32164024613454606
train_eICU_test_MIMIC_24h_shared_features,RandomForest,0.7,,0,0.0,0.0,0.10576281007457927,0.0,1.0,0.9532219318395959,1.0,0.6420700511609603,0.24116394173075353,110,33,77,77,0,33,0,0,2000,0,0.7,0.7,0.0,0.0,0.5237800078709169,0.7564246359700902,0.22629535650692473,0.2548389797847667,patient_group_id,2000,0,79,0.5803341955941256,0.803152833354847,0.0,0.0,1.0,1.0,0.0,0.0,0.503058631483289,0.7652766037616907,0.16394826545565333,0.3328058105987058
train_eICU_test_MIMIC_24h_shared_features,GradientBoosting,0.7090909090909091,0.6666666666666666,1,0.06060606060606061,0.007425837742259803,0.20226431252635502,0.1111111111111111,0.987012987012987,0.9297529393524033,0.9996712513485894,0.6131444313262495,0.2419373020659196,110,33,77,76,1,31,2,3,2000,0,0.6818181818181818,0.7363636363636363,0.0,0.2631578947368421,0.4852420306965761,0.7386953955135771,0.21766291867023776,0.26365347100829006,patient_group_id,2000,0,79,0.5961148648648649,0.8055555555555556,0.0,0.14285714285714285,0.9558823529411765,1.0,0.0,0.24242424242424243,0.46115205209753146,0.7547950709074667,0.164144968177114,0.33275885919859344
train_MIMIC_test_eICU_24h_shared_features,LogisticRegression,0.6261329305135952,0.0944206008583691,1,0.37606837606837606,0.2882149992222372,0.47035639530809853,0.1509433962264151,0.6503728251864126,0.6227160327532548,0.6772947176736217,0.5389395194697598,0.24400136777401568,1324,117,1207,785,422,73,44,466,2000,0,0.5989425981873112,0.6510574018126888,0.11608143059536755,0.1833639200693774,0.48008146920740125,0.5926621063737882,0.23112315175652884,0.2582207800208583,patient_group_id,2000,0,1124,0.5990957722863188,0.6539966740734613,0.29089442815249267,0.46611581920903944,0.6218480501306347,0.6779661016949152,0.11091217813695568,0.19160124323702082,0.48257042778871967,0.5959976762184013,0.22960550573529817,0.2588155343361584
train_MIMIC_test_eICU_24h_shared_features,RandomForest,0.8882175226586103,0.10256410256410256,1,0.03418803418803419,0.009392217342228091,0.08522351922298074,0.05128205128205128,0.9710024855012428,0.9599006849129333,0.9797208357828617,0.5918821121803723,0.13026321752265863,1324,117,1207,1172,35,113,4,39,2000,0,0.879154078549849,0.8965256797583081,0.01257861635220126,0.10527863777089774,0.5412070082637606,0.6452355915280521,0.12642380559751595,0.1342449821668345,patient_group_id,2000,0,1124,0.8704851605276257,0.905570337274882,0.008064516129032258,0.07202926829268276,0.9616984996881843,0.9806454325944817,0.012269938650306749,0.10597398017163674,0.5373432744425297,0.6421351314091767,0.12337199566294955,0.13756779387303672
train_MIMIC_test_eICU_24h_shared_features,GradientBoosting,0.743202416918429,0.10877192982456141,1,0.26495726495726496,0.18765690257717293,0.35452803881452155,0.15422885572139305,0.7895608947804474,0.7654586247551307,0.8122433114932597,0.5571134195823508,0.18588135661612326,1324,117,1207,953,254,86,31,285,2000,0,0.7205249244712991,0.7651057401812689,0.10937015353598015,0.19851116625310175,0.4992215990766115,0.6120442362571609,0.17172206332389245,0.20010811990031663,patient_group_id,2000,0,1124,0.7180679502494555,0.7690580174254226,0.1826086956521739,0.35156973379629625,0.7655211290697481,0.8149385794401656,0.10498125234345705,0.20408908088782954,0.4976997489392636,0.6122578320737203,0.17037465823407094,0.20218793036134983
