scenario,model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_mean,f1_std,f1_min,f1_max,auc_mean,auc_std,auc_min,auc_max,tp_mean,tp_std,tp_min,tp_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,tn_mean,tn_std,tn_min,tn_max
train_MIMIC_test_eICU,GradientBoosting,0.7496978851963746,0.004923225201039406,0.7424471299093656,0.7590634441087614,0.11247871265792608,0.0059021059901500595,0.10320284697508897,0.12030075187969924,0.2658119658119658,0.013024648946623892,0.24786324786324787,0.28205128205128205,0.7966031483015741,0.004990143882792775,0.7895608947804474,0.8061309030654515,0.15805610234027143,0.007982107505877764,0.1457286432160804,0.1671018276762402,0.5556575248373095,0.002666489924663554,0.5512076986807724,0.5596626516261975,31.1,1.5238839267549944,29,33,245.5,6.023103666530881,234,254,85.9,1.5238839267549957,84,88,961.5,6.023103666530879,953,973
train_MIMIC_test_eICU,RandomForest,0.8854229607250754,0.00573056649580597,0.8761329305135952,0.8942598187311178,0.10666891182061962,0.043991476715896434,0.05405405405405406,0.1891891891891892,0.040170940170940174,0.01804118541195164,0.017094017094017096,0.07692307692307693,0.9673570836785419,0.006408022098767494,0.9577464788732394,0.9751449875724938,0.05797436389544419,0.024666920172067498,0.025974025974025976,0.10227272727272728,0.6059195292418159,0.011050410755089708,0.5847867496583321,0.6175089754211545,4.7,2.1108186931983415,2,9,39.4,7.734482673212361,30,51,112.3,2.110818693198341,108,115,1167.6,7.734482673212398,1156,1177
train_eICU_test_MIMIC,GradientBoosting,0.7127272727272727,0.006356417261637258,0.7,0.7181818181818181,0.6849999999999999,0.08405245275906477,0.5,0.75,0.07878787878787878,0.015648417560434006,0.06060606060606061,0.09090909090909091,0.9844155844155844,0.00547580547215304,0.974025974025974,0.987012987012987,0.14101469890943577,0.026429211739491303,0.10810810810810811,0.16216216216216217,0.6112947658402204,0.0033703806022530466,0.6048799685163322,0.6158992522628887,2.6,0.5163977794943223,2,3,1.2,0.4216370213557839,1,2,30.4,0.5163977794943222,30,31,75.8,0.421637021355782,75,76
train_eICU_test_MIMIC,RandomForest,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6371310507674144,0.009393236744610003,0.6174734356552538,0.6503345139708776,0.0,0.0,0,0,0.0,0.0,0,0,33.0,0.0,33,33,77.0,0.0,77,77
