scenario,model,accuracy_point,accuracy_ci_low,accuracy_ci_high,precision_point,precision_ci_low,precision_ci_high,recall_point,recall_ci_low,recall_ci_high,f1_point,f1_ci_low,f1_ci_high,specificity_point,specificity_ci_low,specificity_ci_high,auc_roc_point,auc_roc_ci_low,auc_roc_ci_high,brier_point,brier_ci_low,brier_ci_high,n,events,non_events,tn,fp,fn,tp
train_MIMIC_test_eICU,GradientBoosting,0.8079434167573449,0.794341675734494,0.8200557671381937,0.13333333333333333,0.10656660412757973,0.16171296296296295,0.23225806451612904,0.18921485515382888,0.2802458523570637,0.16941176470588235,0.13903718788815106,0.20250500234152155,0.8609625668449198,0.8484977280385044,0.8726766629784259,0.6154811875874493,0.5865370640222314,0.6435387989097621,0.14456715768814843,0.135434459394269,0.1538153441859214,3676,310,3366,2898,468,238,72
train_MIMIC_test_eICU,LogisticRegression,0.7535364526659413,0.7384317192600653,0.7671381936887922,0.14009661835748793,0.11753913233049924,0.1637676053293677,0.3741935483870968,0.32394125080820546,0.42610775776766274,0.2038664323374341,0.17269578732591737,0.2355147058823529,0.7884729649435532,0.7747533800956932,0.8017269767090224,0.6942173154696873,0.6663225002012773,0.7221904105344664,0.17387407103021954,0.16670181470341422,0.18142606639908296,3676,310,3366,2654,712,194,116
train_MIMIC_test_eICU,RandomForest,0.8873775843307944,0.8775843307943417,0.896769586507073,0.26785714285714285,0.21518987341772153,0.32509689922480617,0.1935483870967742,0.15062363792029887,0.24,0.2247191011235955,0.18070689655172414,0.272336613107059,0.9512774806892454,0.944171818904598,0.9583222804405774,0.6608858988365629,0.6305548630539484,0.68949164462441,0.11055153548543102,0.10576733216962882,0.11624613053137466,3676,310,3366,3202,164,250,60
train_eICU_test_MIMIC,GradientBoosting,0.6617647058823529,0.5882352941176471,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6920289855072465,0.6030829499957407,0.7879592803030303,0.29212772016373884,0.21539944711220402,0.3549961841030489,136,46,90,90,0,46,0
train_eICU_test_MIMIC,LogisticRegression,0.6176470588235294,0.5402573529411765,0.6985294117647058,0.42105263157894735,0.2703991130820399,0.5717613636363634,0.34782608695652173,0.2183987274655355,0.5,0.380952380952381,0.24820205479452057,0.510886524822695,0.7555555555555555,0.6682989690721649,0.8418577384054194,0.5828502415458937,0.48139730788675433,0.6877467129837144,0.2590033134037065,0.20948234661083492,0.30960827186301665,136,46,90,68,22,30,16
train_eICU_test_MIMIC,RandomForest,0.6617647058823529,0.5882352941176471,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6997584541062802,0.6107355261126385,0.7860553217924198,0.27753202614379086,0.20618463848039215,0.3363191176470588,136,46,90,90,0,46,0
