scenario_key,scenario,model,model_full,bin_index,bin_left,bin_right,ece_10bins,mean_predicted,observed_event_rate,n,events,positive_predictions,true_positives_at_0_5
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,4,0.30000000000000004,0.4,0.3227321971232347,0.35040386140535373,0.08333333333333333,168,14,0,0
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,5,0.4,0.5,0.3227321971232347,0.4466047215722849,0.10294117647058823,136,14,0,0
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,6,0.5,0.6000000000000001,0.3227321971232347,0.5450838435018793,0.04285714285714286,140,6,140,6
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,7,0.6000000000000001,0.7000000000000001,0.3227321971232347,0.6498305296696438,0.09345794392523364,107,10,107,10
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,8,0.7000000000000001,0.8,0.3227321971232347,0.7521324652243861,0.08791208791208792,91,8,91,8
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,9,0.8,0.9,0.3227321971232347,0.8475389689070604,0.09259259259259259,54,5,54,5
mimic_to_eicu,(d) MIMIC -> eICU,LR,Logistic Regression,10,0.9,1.0,0.3227321971232347,0.958066264156883,0.20270270270270271,74,15,74,15
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,1,0.0,0.1,0.025959697803397845,0.041355254962743254,0.053811659192825115,892,48,0,0
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,2,0.1,0.2,0.025959697803397845,0.13833717882081534,0.16293929712460065,313,51,0,0
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,3,0.2,0.30000000000000004,0.025959697803397845,0.24346163851082672,0.11494252873563218,87,10,0,0
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,4,0.30000000000000004,0.4,0.025959697803397845,0.3299774657213843,0.2,20,4,0,0
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,5,0.4,0.5,0.025959697803397845,0.43333333333333335,0.375,8,3,0,0
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,6,0.5,0.6000000000000001,0.025959697803397845,0.5494508081704385,0.3333333333333333,3,1,3,1
eicu_internal_oof,(a) eICU internal OOF,RF,Random Forest,7,0.6000000000000001,0.7000000000000001,0.025959697803397845,0.6633333333333333,0.0,1,0,1,0
eicu_to_mimic,(b) eICU -> MIMIC,RF,Random Forest,1,0.0,0.1,0.200109565290544,0.0449298785094256,0.2033898305084746,59,12,0,0
eicu_to_mimic,(b) eICU -> MIMIC,RF,Random Forest,2,0.1,0.2,0.200109565290544,0.1349310407346732,0.39473684210526316,38,15,0,0
eicu_to_mimic,(b) eICU -> MIMIC,RF,Random Forest,3,0.2,0.30000000000000004,0.200109565290544,0.23270049436967868,0.45454545454545453,11,5,0,0
eicu_to_mimic,(b) eICU -> MIMIC,RF,Random Forest,4,0.30000000000000004,0.4,0.200109565290544,0.32499999999999996,0.5,2,1,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,1,0.0,0.1,0.09772727272727273,0.08,0.0,2,0,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,2,0.1,0.2,0.09772727272727273,0.1501449275362319,0.17391304347826086,23,4,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,3,0.2,0.30000000000000004,0.09772727272727273,0.24933333333333332,0.35,40,14,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,4,0.30000000000000004,0.4,0.09772727272727273,0.35424242424242425,0.4090909090909091,22,9,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,5,0.4,0.5,0.09772727272727273,0.4372549019607843,0.23529411764705882,17,4,0,0
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,6,0.5,0.6000000000000001,0.09772727272727273,0.5308333333333334,0.25,4,1,4,1
mimic_internal_oof,(c) MIMIC internal OOF,RF,Random Forest,7,0.6000000000000001,0.7000000000000001,0.09772727272727273,0.6266666666666667,0.5,2,1,2,1
