scenario,model,auc_roc_mean,auc_roc_std,average_precision_mean,average_precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,ece_10bins_mean,ece_10bins_std,zero_positive_prediction_folds,n_folds
MIMIC internal repeated 5-fold CV,Logistic Regression,0.47368452380952386,0.13650218286412247,0.41404164784754127,0.1268096993326045,0.3857142857142856,0.2064601766214648,0.588375,0.12718253841625526,0.31886356799898324,0.15132091222867008,0.3065090019097483,0.055107823376557806,0.3380652759166389,0.07625750219201725,0,100
MIMIC internal repeated 5-fold CV,Random Forest,0.5849404761904762,0.10869848148486634,0.4347117568349877,0.10522149853316233,0.08857142857142856,0.10987146028893714,0.9371666666666668,0.06322026057207726,0.1293160173160173,0.15410536769354446,0.2122769393939394,0.021101405183585272,0.159430303030303,0.056767166649669236,22,100
MIMIC internal repeated 5-fold CV,Gradient Boosting,0.5530714285714285,0.11778221232263311,0.4245795961587923,0.12633339595018309,0.18428571428571425,0.14041605254352474,0.8346666666666667,0.10272125117677505,0.2271164946164946,0.16897130408127886,0.2862448899725042,0.062475964496589056,0.312354273187715,0.06743071858703557,1,100
