variable,MIMIC,eICU,retained_primary_shared_feature
age,0.0,0.04078549848942598,True
gender,0.0,0.0007552870090634441,True
hr_mean,0.02727272727272727,0.02039274924471299,True
hr_min,0.02727272727272727,0.02039274924471299,True
hr_max,0.02727272727272727,0.02039274924471299,True
temperature_mean,0.02727272727272727,0.918429003021148,False
temperature_min,0.02727272727272727,0.918429003021148,False
temperature_max,0.02727272727272727,0.918429003021148,False
respiration_mean,0.02727272727272727,0.0891238670694864,True
respiration_min,0.02727272727272727,0.0891238670694864,True
respiration_max,0.02727272727272727,0.0891238670694864,True
bp_sys_mean,0.02727272727272727,0.024924471299093656,True
bp_sys_min,0.02727272727272727,0.024924471299093656,True
bp_sys_max,0.02727272727272727,0.024924471299093656,True
bp_dia_mean,0.02727272727272727,0.024924471299093656,True
bp_dia_min,0.02727272727272727,0.024924471299093656,True
bp_dia_max,0.02727272727272727,0.024924471299093656,True
bp_mean_mean,0.02727272727272727,0.024924471299093656,True
bp_mean_min,0.02727272727272727,0.024924471299093656,True
bp_mean_max,0.02727272727272727,0.024924471299093656,True
glucose_mean,0.01818181818181818,0.09818731117824774,True
glucose_min,0.01818181818181818,0.09818731117824774,True
glucose_max,0.01818181818181818,0.09818731117824774,True
creatinine_mean,0.01818181818181818,0.09138972809667674,True
creatinine_min,0.01818181818181818,0.09138972809667674,True
creatinine_max,0.01818181818181818,0.09138972809667674,True
wbc_mean,0.01818181818181818,0.13897280966767372,True
wbc_min,0.01818181818181818,0.13897280966767372,True
wbc_max,0.01818181818181818,0.13897280966767372,True
hematocrit_mean,0.01818181818181818,0.12386706948640483,True
hematocrit_min,0.01818181818181818,0.12386706948640483,True
hematocrit_max,0.01818181818181818,0.12386706948640483,True
sodium_mean,0.00909090909090909,0.08761329305135952,True
sodium_min,0.00909090909090909,0.08761329305135952,True
sodium_max,0.00909090909090909,0.08761329305135952,True
bun_mean,0.01818181818181818,0.09138972809667674,True
bun_min,0.01818181818181818,0.09138972809667674,True
bun_max,0.01818181818181818,0.09138972809667674,True
