scenario,model,n_test,accuracy,precision,recall,f1,specificity,auc_roc,tn,fp,fn,tp,positive_predictions
train_eICU_test_MIMIC_shared_features,LogisticRegression,136,0.5955882352941176,0.41818181818181815,0.5,0.4554455445544554,0.6444444444444445,0.5934782608695653,58,32,23,23,55
train_eICU_test_MIMIC_shared_features,RandomForest,136,0.6544117647058824,0.0,0.0,0.0,0.9888888888888889,0.6920289855072465,89,1,46,0,1
train_eICU_test_MIMIC_shared_features,GradientBoosting,136,0.7058823529411765,0.6666666666666666,0.2608695652173913,0.37500000000000006,0.9333333333333333,0.7497584541062801,84,6,34,12,18
train_MIMIC_test_eICU_shared_features,LogisticRegression,3676,0.7535364526659413,0.14009661835748793,0.3741935483870968,0.2038664323374341,0.7884729649435532,0.6942173154696873,2654,712,194,116,828
train_MIMIC_test_eICU_shared_features,RandomForest,3676,0.8873775843307944,0.26785714285714285,0.1935483870967742,0.2247191011235955,0.9512774806892454,0.6608858988365629,3202,164,250,60,224
train_MIMIC_test_eICU_shared_features,GradientBoosting,3676,0.8079434167573449,0.13333333333333333,0.23225806451612904,0.16941176470588235,0.8609625668449198,0.6174707224043088,2898,468,238,72,540
