scenario,model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,f1_mean,f1_std,f1_min,f1_max,auc_mean,auc_std,auc_min,auc_max,tp_mean,tp_std,tp_min,tp_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,tn_mean,tn_std,tn_min,tn_max
train_MIMIC_test_eICU,GradientBoosting,0.8050054406964092,0.002740824880277489,0.8014145810663765,0.808487486398259,0.12886873382038502,0.003843636139494989,0.1223021582733813,0.13382899628252787,0.22774193548387095,0.00531143614418429,0.21935483870967742,0.23225806451612904,0.8581699346405228,0.0028295419149125317,0.8544266191325015,0.8615567439096851,0.1645890127979001,0.004360255716965767,0.15704387990762125,0.16981132075471694,0.6157817261802081,0.0032039361025862742,0.6112222797232285,0.6199777662775764,70.6,1.6465452046971298,68,72,477.4,9.52423808559567,466,490,239.4,1.6465452046971234,238,242,2888.6,9.524238085595812,2876,2900
train_MIMIC_test_eICU,RandomForest,0.8887921653971709,0.005181848795209828,0.8781284004352558,0.8944504896626768,0.2747088321350436,0.021985999546224662,0.23255813953488372,0.3106796116504854,0.19225806451612903,0.017681552508468357,0.15483870967741936,0.2129032258064516,0.9529411764705882,0.006349019736232235,0.9411764705882353,0.9619726678550208,0.22558495717124177,0.016006245507099545,0.19753086419753088,0.248062015503876,0.6544829701186436,0.008201143741194471,0.64038679010216,0.6655798976482089,59.6,5.4812812776251905,48,66,158.4,21.370800432157683,128,198,250.4,5.4812812776251905,244,262,3207.6,21.370800432157715,3168,3238
train_eICU_test_MIMIC,GradientBoosting,0.6617647058823529,0.0,0.6617647058823529,0.6617647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6968115942028985,0.005196574842468535,0.683816425120773,0.7014492753623188,0.0,0.0,0,0,0.0,0.0,0,0,46.0,0.0,46,46,90.0,0.0,90,90
train_eICU_test_MIMIC,RandomForest,0.6617647058823529,0.0,0.6617647058823529,0.6617647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7038647342995169,0.01697613074796911,0.6748792270531401,0.7281400966183574,0.0,0.0,0,0,0.0,0.0,0,0,46.0,0.0,46,46,90.0,0.0,90,90
