scenario,model,auc_roc,average_precision,calibration_intercept,calibration_slope,ece_5bins,default_threshold,default_precision,default_recall,default_f1,default_specificity,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1,best_f1_specificity,best_f1_positive_predictions
train_MIMIC_test_eICU,GradientBoosting,0.6154811875874493,0.14135675597290928,-2.0018555873370123,0.16497787533047367,0.15252062112394466,0.5,0.13333333333333333,0.23225806451612904,0.16941176470588235,0.8609625668449198,0.0343294640158852,0.11334745762711865,0.6903225806451613,0.19472247497725206,0.5026737967914439,1888
train_MIMIC_test_eICU,LogisticRegression,0.6942173154696873,0.16472619598744243,-2.2257939815038976,0.3654754306944821,0.25620305955462236,0.5,0.14009661835748793,0.3741935483870968,0.2038664323374341,0.7884729649435532,0.308513944154629,0.14304123711340205,0.7161290322580646,0.238453276047261,0.6048722519310754,1552
train_MIMIC_test_eICU,RandomForest,0.6608858988365629,0.18900913088819393,-1.58556962185255,0.752230720763593,0.16326985854189335,0.5,0.26548672566371684,0.1935483870967742,0.22388059701492538,0.9506833036244801,0.5433333333333333,0.3611111111111111,0.16774193548387098,0.2290748898678414,0.9726678550207962,144
train_eICU_test_MIMIC,GradientBoosting,0.6920289855072465,0.558816074171198,1.8861105242002043,0.8022326210874671,0.28547333317288026,0.5,0.0,0.0,0.0,1.0,0.0270867724529329,0.4691358024691358,0.8260869565217391,0.5984251968503937,0.5222222222222223,81
train_eICU_test_MIMIC,LogisticRegression,0.5828502415458937,0.45661402172505244,-0.5421889701382095,0.08218043278610057,0.18284709597200755,0.5,0.42105263157894735,0.34782608695652173,0.380952380952381,0.7555555555555555,0.0005703951171348,0.35714285714285715,0.9782608695652174,0.5232558139534884,0.1,126
train_eICU_test_MIMIC,RandomForest,0.6997584541062802,0.5405791376853082,1.9637109642998294,1.0303475445087416,0.2578921568627451,0.5,0.0,0.0,0.0,1.0,0.0666666666666666,0.48,0.782608695652174,0.5950413223140497,0.5666666666666667,75
